fund_symbol,fund_category,investment_type,size_type,incept_year,vol_3mth,net_assets,pb_ratio,pe_ratio,fund_return,alpha_3yr,beta_3yr,ann_ret_3yr,std_3yr,sharpe_3yr,treynor_3yr
FYLD,"Foreign Small/Mid Value",Value,Medium,2013,12345,34519456,1.18,12.25,0.18,-2.32,1.22,0.85,22.21,0.4,5.58
FYT,"Small Value",Value,Small,2011,30883,323162176,1.37,11.77,0.23,-13.26,1.6,1.36,33.05,0.46,6.34
FYX,"Small Blend",Value,Small,2007,44543,988391424,1.87,14.13,0.22,-9.83,1.44,1.4,29.05,0.54,8.41
GAA,"World Allocation",Value,Medium,2014,5314,54271560,1.58,12.1,0.1,-1.29,0.95,0.8,11.28,0.73,8.47
GAL,"Allocation--50% to 70% Equity",Blend,Large,2012,11845,283625088,2.42,21.45,0.09,-2.91,1.17,0.84,13.43,0.66,7.19
GAMR,Technology,Growth,Medium,2016,7029,143478720,3.23,19.85,0.21,15.93,0.74,2.3,30.13,0.87,33.49
GBGR,"Mid-Cap Growth",Growth,Small,2020,408,1235320,4.13,29.23,0.1,NULL,NULL,NULL,NULL,NULL,NULL
GBLO,"Large Value",Value,Large,2020,361,1187775,3.16,19.19,0.11,NULL,NULL,NULL,NULL,NULL,NULL
GDXD,"Trading--Inverse Commodities",Blend,Medium,2020,54012,19566166,1.89,16.61,-0.13,NULL,NULL,NULL,NULL,NULL,NULL
GDXJ,"Equity Precious Metals",Blend,Medium,2009,6430150,5234781696,1.74,15.81,-0.14,4.16,1.1,1.73,42.01,0.46,11.21
GDXU,"Trading--Leveraged Commodities",Blend,Medium,2020,413793,31711902,1.89,16.61,-0.37,NULL,NULL,NULL,NULL,NULL,NULL
GEM,"Diversified Emerging Mkts",Blend,Large,2015,117214,1440090496,1.87,15.42,0.07,0.71,0.93,0.89,17.77,0.53,8.8
GII,Infrastructure,Value,Large,2007,24453,422522752,2.12,22.31,0.06,-8.01,0.97,0.57,19.8,0.28,3.81
GINN,Technology,Growth,Large,2020,14232,472143296,4.76,28.11,0.13,NULL,NULL,NULL,NULL,NULL,NULL
GLCN,"China Region",Growth,Large,2010,1998,37894100,4.59,21.03,0.02,5.58,0.83,1.21,21.36,0.62,14.27
GLIF,Infrastructure,Value,Large,2019,867,4028154,2.27,23.05,0.14,NULL,NULL,NULL,NULL,NULL,NULL
GLIN,"India Equity",Growth,Large,2010,9624,75047096,5.37,27.91,0.19,-11.42,1,-0.08,32.05,-0.07,-7.73
GLRY,"Small Growth",Growth,Small,2020,15037,44673488,4.33,19.34,0.13,NULL,NULL,NULL,NULL,NULL,NULL
GMF,"Pacific/Asia ex-Japan Stk",Blend,Large,2007,14187,728634240,2.16,16.81,0.06,4.35,0.84,1.11,17.48,0.69,13.5
GMOM,"World Allocation",Value,Medium,2014,5790,63286556,1.75,13.05,0.17,-1.41,0.67,0.54,9.75,0.54,7.53
GNOM,Health,Growth,Medium,2019,93546,251044512,5.99,NULL,0.05,NULL,NULL,NULL,NULL,NULL,NULL
GNR,"Natural Resources",Value,Large,2010,167758,2201807360,1.71,19.68,0.2,-10.66,1.26,0.69,24.38,0.29,3.35
GOAU,"Equity Precious Metals",Blend,Medium,2017,32212,102635080,1.62,11.35,-0.04,6.99,1.06,1.93,39.86,0.55,15.12
GOEX,"Equity Precious Metals",Blend,Small,2010,8393,51993808,1.71,14.36,-0.11,2.56,1.13,1.64,40.09,0.46,10.54
GQRE,"Global Real Estate",Blend,Medium,2013,7820,375258944,1.56,21.05,0.17,-6.96,0.91,0.58,18.64,0.31,4.53
GREK,"Miscellaneous Region",Value,Medium,2011,52853,161895744,0.77,11.87,0.09,-8.04,1.6,0.67,33.74,0.2,0.84
GRES,"Natural Resources",Value,Large,2009,7866,21526258,1.85,16.71,0.12,-4.81,0.7,0.52,14.59,0.34,5.82
GRID,"Miscellaneous Sector",Growth,Large,2009,71812,425897824,3.66,33.74,0.15,6.58,1.28,2.15,24.92,0.98,18.76
GSEE,"Diversified Emerging Mkts",Blend,Large,2020,180,37967808,2.03,16.5,0.07,NULL,NULL,NULL,NULL,NULL,NULL
GSEU,"Europe Stock",Blend,Large,2016,3869,20134118,2.25,19.72,0.14,-0.04,1.03,0.9,18.54,0.51,8.01
GSEW,"Large Blend",Blend,Large,2017,48288,775949056,3.82,25.02,0.17,-2.52,1.1,1.51,20.8,0.81,14.58
GSID,"Foreign Large Blend",Blend,Large,2020,5669,331665376,1.83,20,0.09,NULL,NULL,NULL,NULL,NULL,NULL
GSIE,"Foreign Large Blend",Blend,Large,2015,458461,2589396224,2.07,19.43,0.11,-0.71,0.98,0.8,17.44,0.48,7.36
GSJY,"Japan Stock",Blend,Large,2016,891,22399658,1.43,16.54,0.01,-0.22,0.7,0.62,14.4,0.43,7.82
GSLC,"Large Blend",Blend,Large,2015,347374,13078893568,4.89,26.14,0.14,-0.1,0.98,1.54,18.16,0.94,17.33
GSPY,"Large Blend",Blend,Large,2020,16095,45686312,4.82,24.74,0.15,NULL,NULL,NULL,NULL,NULL,NULL
GSSC,"Small Blend",Blend,Small,2017,29741,428315104,2.43,16.32,0.21,-7.46,1.22,1.27,24.62,0.57,9.63
GSUS,"Large Blend",Blend,Large,2020,12816,400820544,4.62,26.84,0.15,NULL,NULL,NULL,NULL,NULL,NULL
GUNR,"Natural Resources",Value,Large,2011,1212414,5491100160,1.87,17.34,0.19,-7.92,1.17,0.81,22.65,0.38,5.35
GURU,"Large Growth",Growth,Large,2012,2835,74119576,4.07,27.09,0.12,-3.4,1.18,1.56,22.75,0.77,13.76
GUSH,"Trading--Leveraged Equity",Value,Medium,2015,2041946,902520832,NULL,NULL,1.52,-130.83,6.35,-1.43,151.38,-0.12,-13.08
GVAL,"Foreign Small/Mid Value",Value,Medium,2014,25614,122442640,1.02,12.31,0.09,-8.55,1.34,0.43,24.95,0.16,0.61
GVIP,"Large Growth",Growth,Large,2016,5819,220974224,4.09,28.38,0.11,1.56,1.17,1.96,23.01,0.97,18.65
GXC,"China Region",Blend,Large,2007,75269,1893200896,1.99,14.89,0.02,3.13,0.74,0.94,19.62,0.51,11.53
GXF,"Miscellaneous Region",Growth,Large,2009,3285,37247176,3.23,18.88,0.14,5.62,0.94,1.3,17.79,0.8,14.66
GXG,"Miscellaneous Region",Value,Medium,2009,7766,37946912,1.11,17.47,-0.13,-20.98,1.71,-0.32,34.34,-0.15,-6.4
GYLD,"World Allocation",Value,Medium,2012,5680,42417316,1.04,10.08,0.19,-15.01,1.93,0.48,24.21,0.19,0.71
HACK,Technology,Growth,Medium,2014,190151,2270508032,5.18,NULL,0.05,4.71,0.99,1.65,22.9,0.81,17.73
HAP,"Natural Resources",Value,Large,2008,10111,76142640,1.94,18.86,0.2,-5.6,1.22,1.06,23.34,0.49,7.63
HART,Health,Blend,Large,2021,209,6867152,5.35,27.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL
HAUZ,"Pacific/Asia ex-Japan Stk",Value,Medium,2013,51417,463717440,1.05,14.44,0.09,-4.88,1,0.47,19.18,0.23,2.56
HAWX,"Foreign Large Blend",Blend,Large,2015,9693,119330064,1.94,18.87,0.12,2.16,0.81,0.91,14.8,0.66,11.18
HDAW,"Foreign Large Value",Value,Large,2015,3541,24533348,1.71,13.75,0.11,-3.06,1.03,0.64,18.59,0.35,4.84
HDEF,"Foreign Large Value",Value,Large,2015,187512,739357952,1.89,15.78,0.08,-3.04,0.99,0.62,18.04,0.34,4.8
HDMV,"Foreign Large Blend",Value,Large,2016,11862,85140568,1.68,18.46,0.05,-6.14,0.78,0.19,14.67,0.07,-0.03
HDV,"Large Value",Value,Large,2011,375064,7035331072,3.27,21.84,0.12,-7.79,0.92,0.82,18.73,0.46,7.74
HEDJ,"Europe Stock",Blend,Large,2009,75900,2001873024,2.91,25.53,0.17,-0.17,0.96,0.83,18.7,0.47,7.64
HEEM,"Diversified Emerging Mkts",Blend,Large,2014,25095,220527312,2.09,16.94,0.08,3.22,0.82,1.01,15.93,0.68,12.36
HEFA,"Foreign Large Blend",Blend,Large,2014,371766,2834944768,1.85,20.33,0.14,1.46,0.83,0.87,15.86,0.58,10.04
HEWC,"Miscellaneous Region",Blend,Large,2015,5124,11538085,2.22,17.73,0.18,2.69,0.87,1,17.05,0.63,11.34
HEWG,"Miscellaneous Region",Value,Large,2014,39324,65117772,1.76,18.19,0.14,-0.16,1.05,0.9,20.66,0.46,7.47
HEWJ,"Japan Stock",Blend,Large,2014,99419,512481728,1.46,17.29,0.08,0.98,0.79,0.8,17.41,0.48,9.04
HEWU,"Miscellaneous Region",Value,Large,2015,1416,8275169,1.75,19.73,0.12,-5.98,0.79,0.22,16.18,0.09,0.15
HEZU,"Europe Stock",Blend,Large,2014,130208,710422464,1.83,22.45,0.17,1.17,1.04,1.01,19.94,0.54,9
HFXI,"Foreign Large Blend",Blend,Large,2015,16629,314993024,1.77,19.66,0.11,0.49,0.92,0.86,16.73,0.54,8.77
HIBL,"Trading--Leveraged Equity",Value,Medium,2019,91227,141882224,2.39,22.43,1.17,NULL,NULL,NULL,NULL,NULL,NULL
HIPS,"Allocation--85%+ Equity",Value,Medium,2015,32350,64516940,1.35,14.86,0.21,-14.1,2.3,0.86,28.52,0.32,2.03
HJPX,"Japan Stock",Blend,Large,2015,577,3505979,1.43,17.46,0.07,0.54,0.8,0.76,17.94,0.44,8.33
HLAL,"Large Blend",Blend,Large,2019,20751,116635472,5.1,29.37,0.12,NULL,NULL,NULL,NULL,NULL,NULL
HLGE,"Mid-Cap Blend",Blend,Medium,2021,356,25308960,3.59,20.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL
HNDL,"Allocation--15% to 30% Equity",Blend,Large,2018,642462,693417600,4.27,25.64,0.04,1.27,0.72,0.81,8.79,0.97,11.9
HSCZ,"Foreign Small/Mid Blend",Blend,Medium,2015,10588,94722592,1.57,18.82,0.13,0.69,0.96,0.9,18.4,0.52,8.66
HSMV,"Small Blend",Blend,Small,2020,943,14562346,2.71,22.86,0.15,NULL,NULL,NULL,NULL,NULL,NULL
HTEC,Health,Growth,Medium,2019,23375,236813104,5.93,26.21,0.1,NULL,NULL,NULL,NULL,NULL,NULL
HTUS,"Long-Short Equity",Blend,Large,2015,2733,26519790,4.42,26.45,0.13,-3.36,0.88,1.13,17.42,0.7,12.92
HUSV,"Large Blend",Value,Large,2016,11651,115834512,4.41,23.29,0.11,-1.91,0.84,1.18,17.14,0.76,14.59
HYBB,"High Yield Bond",Blend,Large,2020,14082,125388616,7.04,59.99,0.02,NULL,NULL,NULL,NULL,NULL,NULL
HYGV,"High Yield Bond",Value,Small,2018,74337,275570848,1.73,NULL,0.04,NULL,NULL,NULL,NULL,NULL,NULL
HYIN,"Nontraditional Bond",Value,Small,2021,5456,4617975,1.1,5.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL
HYS,"High Yield Bond",Value,Small,2011,292006,2239855872,3.48,NULL,0.04,2.29,0.4,0.43,8.63,0.45,9.03
HYTR,"Multisector Bond",Blend,Small,2020,1319,12139932,1.64,NULL,0.02,NULL,NULL,NULL,NULL,NULL,NULL
IAPR,"Foreign Large Blend",Blend,Large,2021,927,28236180,1.85,20.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IBB,Health,Growth,Medium,2001,2060362,10823479296,6.88,30.81,0.08,2.36,0.9,1.35,23.19,0.64,14.76
IBBJ,Health,Growth,Small,2020,2666,8242210,4.67,NULL,-0.05,NULL,NULL,NULL,NULL,NULL,NULL
IBBQ,Health,Growth,Medium,2021,15390,65236412,6,28.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL
IBUY,"Consumer Cyclical",Growth,Medium,2016,75841,1335256832,7.21,NULL,0.13,13.6,1.58,3.09,33.89,1.05,22.42
ICLN,"Miscellaneous Sector",Growth,Medium,2008,4829329,6162452480,2.92,25.33,-0.16,21.83,1.15,3.27,30.88,1.23,34.22
ICOW,"Foreign Large Value",Value,Large,2017,20608,29221776,1.41,14.91,0.15,-2.01,1.19,0.86,21.62,0.42,5.96
ICSH,"Ultrashort Bond",Value,Large,2013,817475,5643423232,2.08,33.56,0,0.48,0.09,0.17,0.85,1.06,9.32
ICVT,Convertibles,Growth,Medium,2015,288180,1708603392,4.77,NULL,0.06,8.52,1.45,2.03,18.87,1.22,16.53
IDHD,"Foreign Large Value",Value,Large,2016,2388,18855884,1.18,16.6,0.08,-3.71,0.87,0.47,16.18,0.27,3.6
IDHQ,"Foreign Large Growth",Growth,Large,2007,9014,107880576,3.95,21.33,0.06,3.65,0.88,1.09,16.12,0.73,12.77
IDIV,"Large Blend",Blend,Large,2018,41483,26796288,4.42,26.46,0.08,-10.98,0.87,0.47,22.43,0.2,2
IDLB,"Foreign Large Blend",Blend,Large,2015,630,7714323,1.63,18.5,0.06,-3.94,0.84,0.42,15.17,0.25,3.31
IDLV,"Foreign Large Blend",Blend,Large,2012,54332,747850560,1.89,18.81,0.05,-4.43,0.7,0.28,13.95,0.15,1.61
IDMO,"Foreign Large Growth",Growth,Large,2012,8498,8476011,4.61,25.44,0.02,2.23,0.83,0.93,15.94,0.62,11.05
IDOG,"Foreign Large Value",Value,Large,2013,21403,187597680,1.33,13.35,0.1,-3.82,1.07,0.61,19.72,0.31,4.12
IDX,"Miscellaneous Region",Value,Large,2009,55969,32551400,1.75,20.06,-0.12,-12.04,1.35,0.15,29.05,0.02,-2.9
IEFA,"Foreign Large Blend",Blend,Large,2012,8707980,95780700160,1.8,20.08,0.1,-0.85,1.01,0.82,18.07,0.47,7.19
IEUR,"Europe Stock",Blend,Large,2014,748309,5184926208,2.03,21.28,0.13,-0.88,1.1,0.88,19.81,0.47,7.09
IEUS,"Europe Stock",Blend,Medium,2007,55600,369970432,1.95,20.36,0.13,-1.15,1.33,1.04,24.14,0.46,6.57
IFGL,"Global Real Estate",Value,Medium,2007,46858,260420896,1.01,15.34,0.09,-7.68,0.92,0.53,19.16,0.27,3.68
IFV,"Foreign Large Blend",Blend,Large,2014,41519,297918400,2.35,19.69,0.11,-2.72,1.29,0.88,23.83,0.39,5.12
IGF,Infrastructure,Value,Large,2007,245484,3031025920,2.13,22.31,0.05,-8.05,0.98,0.57,19.85,0.28,3.78
IHAK,Technology,Growth,Medium,2019,89411,566974016,6.57,NULL,0.07,NULL,NULL,NULL,NULL,NULL,NULL
IHDG,"Foreign Large Growth",Blend,Large,2014,78054,1011551936,4.4,22.9,0.14,5.72,0.72,1.13,14.22,0.87,16.96
IHY,"High Yield Bond",Value,Large,2012,35837,107884008,9.17,59.99,0.01,2.8,0.79,0.6,10.82,0.55,7.1
IJAN,"Foreign Large Blend",Blend,Large,2019,7596,80490032,1.85,20.34,0.05,NULL,NULL,NULL,NULL,NULL,NULL
IJT,"Small Growth",Blend,Small,2000,125814,6375302656,3.46,21.25,0.16,-7.26,1.2,1.26,24.27,0.57,9.76
IMCV,"Mid-Cap Value",Value,Medium,2004,15793,465371904,2.36,18,0.24,-10.42,1.21,1.02,24.64,0.45,6.81
IMOM,"Foreign Large Growth",Growth,Medium,2015,4853,78840320,2.41,15.97,0.01,-1.97,1.02,0.73,19.61,0.38,5.71
INCO,"India Equity",Blend,Large,2011,6476,94072760,8.59,47.73,0.12,-0.9,0.89,0.72,24.36,0.3,5.08
INDL,"Trading--Leveraged Equity",Blend,Large,2010,36448,92531288,3.56,27.29,0.18,-20.76,2.22,1.65,66.85,0.28,-5.61
INDS,"Real Estate",Blend,Medium,2018,45444,204582304,2.77,38.48,0.18,9.74,0.7,1.73,16.62,1.18,28.7
INDY,"India Equity",Blend,Large,2009,77412,682326016,3.31,26.85,0.1,2.3,1.03,1.09,25.12,0.47,8.8
INFR,Infrastructure,Value,Large,2016,1540,12400311,1.78,19.87,0.05,-4,0.73,0.62,15.49,0.4,7.13
INKM,"Allocation--30% to 50% Equity",Value,Medium,2012,11466,125033128,1.58,13.25,0.07,-3.3,1.04,0.71,12.78,0.57,6.39
IPAC,"Diversified Pacific/Asia",Blend,Large,2014,55958,1161600512,1.49,18.36,0.04,-0.74,0.86,0.71,16.02,0.45,7.27
IPAY,"Miscellaneous Sector",Growth,Large,2015,134133,1254936704,4.76,36.55,0.06,3.95,1.34,2,27.26,0.84,15.75
IPKW,"Foreign Large Blend",Blend,Large,2014,20356,135441504,1.55,19.45,0.19,-0.41,1.25,1.04,22.53,0.5,7.32
IPO,"Mid-Cap Growth",Growth,Medium,2013,128672,632649792,10.24,NULL,0.03,8.13,1.27,2.66,31.39,0.98,23.35
IPOS,"Foreign Small/Mid Growth",Growth,Large,2014,4250,34365552,6.32,33.62,-0.01,9.79,0.82,1.56,19.01,0.92,20.71
IQDE,"Foreign Large Value",Value,Large,2013,2141,73910848,1.98,13.84,0.11,-2.52,0.98,0.65,17.54,0.38,5.37
IQDF,"Foreign Large Value",Value,Large,2013,46825,608012480,1.8,13.06,0.12,-2.35,1.06,0.73,18.95,0.4,5.64
IQDG,"Foreign Large Growth",Blend,Large,2016,46277,249603808,4.33,22.63,0.1,3.39,0.9,1.08,16.56,0.71,12.3
IQDY,"Foreign Large Value",Value,Large,2013,12996,68097616,1.65,12.64,0.12,-0.4,1.17,0.98,20.98,0.5,7.49
IQIN,"Foreign Large Value",Value,Large,2018,1841,241393568,1.33,16.34,0.14,NULL,NULL,NULL,NULL,NULL,NULL
IQSI,"Foreign Large Blend",Blend,Large,2019,6133,190224816,1.88,20.57,0.1,NULL,NULL,NULL,NULL,NULL,NULL
IQSU,"Large Blend",Blend,Large,2019,18382,446651168,5.37,28.81,0.15,NULL,NULL,NULL,NULL,NULL,NULL
ISDX,"Foreign Large Value",Value,Large,2018,16345,310820736,1.44,17.77,0.14,NULL,NULL,NULL,NULL,NULL,NULL
ISEM,"Diversified Emerging Mkts",Value,Large,2018,3198,28821446,0.88,9.05,0.15,NULL,NULL,NULL,NULL,NULL,NULL
ISMD,"Small Blend",Value,Small,2017,16629,121133600,2.01,16.18,0.24,-10.21,1.29,1.16,26.28,0.48,7.55
ISTB,"Short-Term Bond",Growth,Small,2012,544933,5498013184,1.64,NULL,0,1.22,0.36,0.33,1.6,1.72,7.56
ITEQ,Technology,Growth,Medium,2015,43825,217161600,5.61,31.16,0.02,12.1,0.99,2.27,22.77,1.14,26.74
ITOT,"Large Blend",Blend,Large,2004,1933185,40086081536,4.16,25.52,0.15,-0.66,1.05,1.59,19.44,0.92,16.66
IUS,"Large Value",Value,Large,2018,11132,180727904,3.32,20.54,0.2,NULL,NULL,NULL,NULL,NULL,NULL
IUSS,"Small Blend",Blend,Small,2018,5870,44719192,2.7,20.25,0.33,NULL,NULL,NULL,NULL,NULL,NULL
IUSV,"Large Value",Value,Large,2000,494401,10406422528,2.62,19.92,0.17,-5.27,1.04,1.19,20.12,0.65,11.38
IVAL,"Foreign Large Value",Value,Large,2014,30650,146975296,1.43,10.92,0.06,-9.45,1.16,0.21,21.93,0.06,-0.93
IVOG,"Mid-Cap Growth",Growth,Medium,2010,6582,1091176448,4.42,28.22,0.12,-5.4,1.12,1.3,21.65,0.66,11.5
IVOO,"Mid-Cap Blend",Blend,Medium,2010,20193,2838392064,2.74,21.91,0.18,-7.57,1.22,1.27,23.76,0.59,9.73
IVOV,"Mid-Cap Value",Value,Small,2010,14515,983786496,2.06,18.15,0.23,-10.27,1.33,1.21,26.74,0.5,7.65
IVV,"Large Blend",Blend,Large,2000,4541595,286994399232,4.42,26.46,0.15,-0.03,1,1.57,18.52,0.95,17.41
IXSE,"India Equity",Growth,Large,2019,1409,4894176,4.12,31.57,0.12,NULL,NULL,NULL,NULL,NULL,NULL
IXUS,"Foreign Large Blend",Blend,Large,2012,1964759,29536268288,1.88,18.69,0.1,0.06,1.02,0.9,17.96,0.53,8.18
IZRL,Technology,Growth,Small,2017,54427,318960960,3.27,29.89,0.08,2.19,1.2,1.69,25.94,0.74,14.36
JDIV,"Mid-Cap Value",Value,Medium,2017,10885,35709952,2.47,19.09,0.21,-6.42,1.11,1.2,22.22,0.59,10.22
JEMA,"Diversified Emerging Mkts",Blend,Large,2021,11761,102027960,2.66,19.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JETS,"Miscellaneous Sector",Value,Medium,2015,7977085,3616804864,2.78,NULL,0.08,-23.3,1.82,0.29,40.9,0.06,-3.52
JGLD,"Equity Precious Metals",Blend,Small,2020,2220,2465944,1.56,10.69,-0.12,NULL,NULL,NULL,NULL,NULL,NULL
JHCS,Communications,Blend,Large,2019,982,31738204,3.34,25.27,0.12,NULL,NULL,NULL,NULL,NULL,NULL
JHEM,"Diversified Emerging Mkts",Blend,Large,2018,16290,741810816,1.85,15.32,0.09,NULL,NULL,NULL,NULL,NULL,NULL
JHMC,"Consumer Cyclical",Growth,Large,2015,3212,39920628,6.61,26,0.15,0.9,1.34,1.74,25.03,0.78,13.52
JHMD,"Foreign Large Blend",Blend,Large,2016,11448,476312384,1.67,19.41,0.1,-1.7,1,0.73,17.87,0.42,6.28
JHMF,Financial,Value,Large,2015,5279,37700160,1.9,15.19,0.22,-2.97,1.29,1.36,24.9,0.6,9.93
JHMH,Health,Blend,Large,2015,5275,48881768,4.65,25.6,0.11,4.86,0.78,1.42,16.77,0.94,20.06
JHML,"Large Blend",Blend,Large,2015,39709,713924864,3.91,24.52,0.16,-1.49,1.04,1.52,19.42,0.87,15.71
JHMM,"Mid-Cap Blend",Blend,Medium,2015,140632,2246222592,3.34,22.46,0.16,-4.62,1.15,1.42,22.16,0.71,12.43
JHMT,Technology,Growth,Large,2015,4016,63721416,7.36,30.96,0.14,9.61,1.13,2.23,21.59,1.18,23.14
JHSC,"Small Blend",Blend,Small,2017,22751,428641024,2.71,20.26,0.14,-10.13,1.23,1.07,24.32,0.48,7.37
JMIN,"Large Blend",Value,Large,2017,2488,19340992,3.27,23.39,0.12,-1.42,0.8,1.17,15.83,0.81,15.35
JMOM,"Large Growth",Growth,Large,2017,29570,189598928,5.8,28.96,0.12,0.45,0.99,1.6,19.08,0.94,17.83
JNK,"High Yield Bond",Value,Small,2007,8613952,9782642688,NULL,NULL,0.03,3.15,0.58,0.56,9.23,0.6,9.04
JNUG,"Trading--Leveraged Equity",Blend,Medium,2013,1163335,603413184,1.74,15.81,-0.32,-28.87,2.92,2.01,114.29,0.2,-17.72
JOYY,Industrials,Growth,Large,2019,801,47515472,7.15,34.54,0.07,NULL,NULL,NULL,NULL,NULL,NULL
JPEM,"Diversified Emerging Mkts",Value,Large,2015,15041,172628656,1.8,13.42,0.1,-2.08,1.03,0.72,19.21,0.39,5.65
JPIN,"Foreign Large Blend",Value,Large,2014,51127,872339648,1.38,15.18,0.09,-3.02,0.95,0.59,17.06,0.34,4.74
JPME,"Mid-Cap Blend",Value,Medium,2016,7717,245908512,2.98,21.34,0.18,-6.47,1.11,1.19,21.46,0.61,10.36
JPN,"Japan Stock",Blend,Large,2015,7612,24402262,1.43,17.52,0,-0.55,0.75,0.64,15.52,0.41,7.26
JPSE,"Small Blend",Blend,Small,2016,11940,175176240,2.24,16.07,0.24,-7.48,1.26,1.34,25.39,0.58,9.81
JPUS,"Large Blend",Value,Medium,2015,24564,676948352,3.18,21.24,0.16,-4.76,1.01,1.2,19.42,0.68,11.88
JQUA,"Large Blend",Blend,Large,2017,35656,349485216,6.12,25.3,0.15,0.51,0.91,1.49,17.02,0.97,18.13
JSMD,"Mid-Cap Growth",Growth,Small,2016,14780,185750832,4.54,20.53,0.08,-3.98,1.23,1.59,24.95,0.71,12.95
JSML,"Small Growth",Growth,Small,2016,11633,146875760,3.79,17.1,0.08,-3.09,1.31,1.78,27.25,0.74,13.73
JUST,"Large Blend",Blend,Large,2018,12445,241836416,4.47,26.93,0.15,0.04,1.01,1.59,18.68,0.95,17.49
JVAL,"Large Value",Value,Large,2017,239835,1096629248,2.69,19.55,0.22,-4.8,1.15,1.4,22.41,0.7,12.21
KALL,"China Region",Blend,Large,2015,1630,23087656,1.89,14.68,0.02,6.98,0.79,1.3,19.33,0.74,16.98
KAPR,"Small Blend",Blend,Small,2020,11700,84438000,2.56,17.84,0.03,NULL,NULL,NULL,NULL,NULL,NULL
KARS,Industrials,Growth,Large,2018,70238,221831040,4.16,33.53,0.16,9.05,1.42,2.52,29.21,0.99,19.94
KBA,"China Region",Growth,Large,2014,88595,867455296,2.42,19.34,0.04,11.02,0.81,1.65,20.69,0.9,22.22
KBUY,"China Region",Growth,Large,2020,10793,55763616,7.71,31.19,0.01,NULL,NULL,NULL,NULL,NULL,NULL
KBWB,Financial,Value,Large,2011,1433426,2363817472,1.36,14.71,0.29,-8.22,1.52,1.19,31.9,0.41,5.41
KBWD,Financial,Value,Small,2010,128442,444465536,1.18,6.07,0.29,-11.99,1.68,1.07,35.1,0.33,2.6
KBWP,Financial,Value,Medium,2010,4501,84740928,1.33,9.92,0.13,0.07,0.81,1.05,19.37,0.59,12.48
KBWR,Financial,Value,Small,2011,6903,75919096,1.32,13.72,0.27,-11.7,1.46,0.83,33.41,0.26,2.2
KBWY,"Real Estate",Value,Small,2010,121179,354506048,1.14,24.19,0.15,-22.98,1.51,-0.05,32.8,-0.06,-5.01
KDFI,"Multisector Bond",Blend,Small,2019,18219,63181700,1.64,NULL,0.03,NULL,NULL,NULL,NULL,NULL,NULL
KEMQ,"Diversified Emerging Mkts",Growth,Large,2017,40917,106651920,4.44,29.59,0.03,3.19,1.07,1.2,22.74,0.58,10.55
KEMX,"Diversified Emerging Mkts",Value,Large,2019,3456,26152124,1.82,17.29,0.1,NULL,NULL,NULL,NULL,NULL,NULL
KFVG,"China Region",Growth,Large,2020,71738,147048960,4.9,31.48,0.05,NULL,NULL,NULL,NULL,NULL,NULL
KFYP,"China Region",Value,Large,2013,2117,14179191,1.69,13.15,-0,-1.46,0.76,0.57,19.22,0.29,5.18
KGRN,"China Region",Blend,Large,2017,36461,186036288,2.34,16.33,0.12,23.94,1.04,2.91,31.46,1.07,32.21
KJAN,"Small Blend",Blend,Small,2019,14285,102453296,2.56,17.84,0.08,NULL,NULL,NULL,NULL,NULL,NULL
KJUL,"Small Blend",Blend,Small,2020,11379,19930256,2.56,17.83,0.03,NULL,NULL,NULL,NULL,NULL,NULL
KLCD,"Large Blend",Value,Medium,2019,6074,67377960,3.08,21.27,0.12,NULL,NULL,NULL,NULL,NULL,NULL
KMED,"Diversified Emerging Mkts",Growth,Large,2018,643,5502255,6.3,31.9,0.01,NULL,NULL,NULL,NULL,NULL,NULL
KNG,"Large Value",Value,Large,2018,37025,195788880,3.14,24.37,0.14,-1.87,0.9,1.28,17.65,0.8,14.93
KOIN,Technology,Growth,Large,2018,3654,29019104,4.21,25.18,0.15,6.18,1.04,1.83,19.63,1.05,20.08
KOMP,"Mid-Cap Growth",Growth,Medium,2018,116061,2128322560,3.37,22.96,0.17,NULL,NULL,NULL,NULL,NULL,NULL
KORU,"Trading--Leveraged Equity",Value,Large,2013,130311,50916920,1.31,16.88,0.15,-21.94,3.06,2.79,75.7,0.42,0.71
KRMA,"Large Blend",Blend,Large,2016,49988,473299104,4.66,25.88,0.15,-0.76,1.03,1.56,19.22,0.9,16.52
KSCD,"Small Blend",Value,Small,2019,2874,40279032,1.79,17.53,0.09,NULL,NULL,NULL,NULL,NULL,NULL
KSTR,"China Region",Growth,Large,2021,36046,127140112,10.01,53.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL
KURE,"China Region",Growth,Large,2018,38027,269368896,7.27,37.27,0.17,13.46,0.69,1.76,26.64,0.74,26.1
KVLE,"Large Value",Value,Large,2020,1950,32627340,2.84,21.41,0.17,NULL,NULL,NULL,NULL,NULL,NULL
KWEB,"China Region",Growth,Large,2013,12941840,4696231424,4.33,24.59,-0.09,0.58,0.94,0.88,28.49,0.33,5.89
